,level_0,index,up_count,down_count,total_count,polar_score,polarity
259,1556,유출/NNG;위험/NNG,11.0,22.0,33.0,0.4652063985193509,Dovish
260,1573,미/NNG;국채/NNG;상승/NNG,11.0,16.0,27.0,0.6396587979641075,Dovish
261,1578,fed/NNG;불확실성/NNG,11.0,21.0,32.0,0.48735908416312956,Dovish
262,1580,회복/NNG;효과/NNG,11.0,17.0,28.0,0.6020318098485719,Dovish
263,1598,경제/NNG;높/VA,11.0,15.0,26.0,0.6823027178283814,Dovish
264,1604,불확실성/NNG;우려/NNG,11.0,17.0,28.0,0.6020318098485719,Dovish
265,1609,가격/NNG;하락/NNG;압력/NNG,11.0,16.0,27.0,0.6396587979641075,Dovish
266,1614,심리/NNG;강화/NNG,11.0,24.0,35.0,0.4264391986427383,Dovish
267,1630,국채입찰/NNG;성공/NNG,11.0,14.0,25.0,0.7310386262446943,Dovish
268,1639,신흥국/NNG;성장/NNG,11.0,21.0,32.0,0.48735908416312956,Dovish
269,1648,인상/NNG;우려/NNG;하락/NNG,11.0,14.0,25.0,0.7310386262446943,Dovish
270,1660,ecb/NNG;완화/NNG,11.0,15.0,26.0,0.6823027178283814,Dovish
271,1671,불안/NNG;안정/NNG,10.0,13.0,23.0,0.7157021515682321,Dovish
272,1673,실적/NNG;부담/NNG,10.0,20.0,30.0,0.46520639851935086,Dovish
273,1674,수출/NNG;급감/NNG,10.0,35.0,45.0,0.2658322277253434,Dovish
274,1676,물가/NNG;하락/NNG;압력/NNG,10.0,19.0,29.0,0.48969094580984307,Dovish
275,1681,수익성/NNG;악화/NNG;우려/NNG,10.0,16.0,26.0,0.5815079981491885,Dovish
276,1687,실물/NNG;경제/NNG;위축/NNG,10.0,14.0,24.0,0.6645805693133584,Dovish
277,1688,최대/NNG;내리/VV,10.0,17.0,27.0,0.5473016453168834,Dovish
278,1693,역마진/NNG;우려/NNG,10.0,13.0,23.0,0.7157021515682321,Dovish
279,1705,물가/NNG;둔화/NNG,10.0,17.0,27.0,0.5473016453168834,Dovish
280,1716,수출/NNG;위축/NNG,10.0,15.0,25.0,0.6202751980258012,Dovish
281,1719,위험/NNG;축소/NNG,10.0,18.0,28.0,0.5168959983548342,Dovish
282,1724,가격/NNG;반대/NNG,10.0,16.0,26.0,0.5815079981491885,Dovish
