* 통계표명 :,주택거래_연도별,,,,,,,,,,,,,,,,,
* 수록기간 :,2006년 ~ 2021년,,,,,,,,,,,,,,,,,
* 조회기간 :,2006년 ~ 2021년,,,,,,,,,,,,,,,,,
* 출처 :,국토교통부,,,,,,,,,,,,,,,,,
* 자료다운일자 :,2021.03.20 15:54:21,,,,,,,,,,,,,,,,,
* 단위 :,"동(호)수,천㎡",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
지 역,,,2006년,2007년,2008년,2009년,2010년,2011년,2012년,2013년,2014년,2015년,2016년,2017년,2018년,2019년,2020년,2021년
,군산시,,6600,6538,12661,11224,8318,10984,5606,4977,7134,8811,5860,5997,9554,7646,9231,718
,익산시,,7308,5589,8929,7899,7773,9429,7398,7113,7632,7832,7702,7756,8461,5888,8566,949
,정읍시,,1577,1848,1251,1415,1640,3648,1468,1470,2821,1868,1801,3097,2017,1976,3412,162
,남원시,,797,1308,1242,1007,1071,1304,1691,1555,1618,1181,1501,1148,1026,1276,1953,133
,김제시,,770,743,1167,1911,915,1047,911,1030,2318,1889,2323,1608,1345,1321,1599,126
,완주군,,1543,1249,1595,1701,1639,3354,2283,2539,1463,1393,1815,2715,2148,2441,5139,181
,진안군,,249,295,396,301,235,277,258,283,286,291,287,272,359,271,415,26
,무주군,,241,220,230,176,188,293,258,300,335,320,346,328,336,322,422,30
,장수군,,156,167,156,154,150,212,193,237,322,246,265,220,289,247,289,20
,임실군,,141,164,160,179,173,304,235,264,257,265,322,426,385,268,294,25
,순창군,,148,198,177,207,206,252,281,369,319,286,270,439,409,374,360,30
,고창군,,378,402,413,1106,490,554,481,638,593,642,692,1040,826,810,898,50
,부안군,,773,547,1084,1176,648,710,677,975,1080,1295,786,1100,1573,944,1410,111
전남,,,28239,27955,34236,31916,36186,43036,36383,36456,39626,49470,45339,47877,54022,51051,65544,6368
,목포시,,5444,6157,6768,6889,7021,6537,5040,5386,6127,8118,6816,7290,7521,5163,8140,1082
,여수시,,4260,4504,5187,4673,7274,8136,6012,6451,6527,5927,6685,8046,8190,10934,11274,676
,순천시,,7505,6098,5174,7018,6744,7742,7050,7075,6673,10322,8687,7838,10651,10911,15984,984
,나주시,,1624,1360,989,1357,1116,1296,1405,1320,3711,7661,6240,4325,4775,2549,3390,1652
,광양시,,2123,3172,8007,3516,5228,7575,5123,3902,4525,3611,3980,7254,5851,6765,8634,424
,담양군,,382,358,386,449,433,482,522,583,656,927,663,752,1109,1012,1096,71
,곡성군,,249,215,253,243,268,324,254,297,352,392,370,397,416,502,575,45
,구례군,,198,237,228,303,366,484,579,347,555,478,397,335,410,392,452,34
,고흥군,,550,500,541,524,604,636,675,844,927,1089,971,1027,1111,1006,1384,90
,보성군,,337,351,366,453,430,939,469,567,541,604,648,737,642,611,750,56
,화순군,,1015,647,703,830,1061,1845,1193,1124,1106,1931,1360,943,1712,2915,1554,115
,장흥군,,268,265,379,690,560,507,441,487,614,628,646,669,745,776,745,52
,강진군,,373,285,343,355,350,427,434,616,499,535,540,663,795,696,748,66
,해남군,,801,611,692,786,686,730,886,727,899,1283,916,1519,1021,1008,1179,144
,영암군,,672,347,473,432,449,651,1558,878,773,1416,1725,1363,981,923,1767,149
,무안군,,653,1014,1483,1137,970,2227,2087,3187,2305,1579,1610,1733,4847,1776,3839,250
,함평군,,161,256,507,206,227,215,247,331,326,358,286,293,362,383,551,34
