,상권업종대분류코드,상권업종대분류명,상권업종중분류코드,상권업종중분류명,상권업종소분류코드,상권업종소분류명,표준산업분류코드,표준산업분류명,행정동코드,행정동명,도로명주소,lon,lat
6774,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,3611052000,도담동,"세종특별자치시 도움8로 81, (어진동)",127.27060259999999,36.50442191
6779,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,3611056000,보람동,"세종특별자치시 한누리대로 2135, (보람동)",127.2892712,36.47836308
6790,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,3611032000,연동면,"세종특별자치시 연동면 청연로 384, (응암리)",127.3358081,36.54219437
6791,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,3611036000,연서면,"세종특별자치시 연서면 도신고복로 903, (고복리)",127.2467175,36.61331989999999
6803,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,3611052000,도담동,"세종특별자치시 절재로 194, (어진동)",127.2624501,36.5083011
6830,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,3611054000,종촌동,"세종특별자치시 도움1로 106, (종촌동)",127.2481243,36.50281338
6831,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,3611033000,부강면,"세종특별자치시 부강면 부촌길 24, (부강리)",127.3678828,36.52868817
6832,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,3611052000,도담동,"세종특별자치시 갈매로 364, (어진동)",127.26392859999999,36.49599957
6862,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,3611032000,연동면,"세종특별자치시 연동면 송암로 197, (노송리)",127.33831629999999,36.56109781
6864,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,3611052000,도담동,"세종특별자치시 절재로 194, (어진동)",127.2624501,36.5083011
6865,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,3611054000,종촌동,"세종특별자치시 도움1로 108, (종촌동)",127.24763440000001,36.50267511
6886,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,3611025000,조치원읍,"세종특별자치시 조치원읍 큰말2길 1, (신흥리)",127.2889936,36.59532121
6889,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,3611054000,종촌동,"세종특별자치시 도움3로 159, (종촌동, 가재마을중흥S클래스3단지)",127.2437487,36.50393027
6894,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,3611051500,새롬동,"세종특별자치시 한누리대로 194, (나성동)",127.2613679,36.48237531
6896,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,3611055500,소담동,"세종특별자치시 한누리대로 2012, (소담동)",127.29991809999999,36.48572593
6913,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,3611054000,종촌동,"세종특별자치시 도움1로 108, (종촌동)",127.24763440000001,36.50267511
6926,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,3611053000,아름동,"세종특별자치시 보듬3로 104-17, (아름동)",127.24954,36.51226705
6929,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,3611053000,아름동,"세종특별자치시 보듬7로 94, (아름동)",127.2488805,36.51928338
6933,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,3611055500,소담동,"세종특별자치시 소담1로 12, (소담동)",127.30147579999999,36.48501408
6938,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,3611056000,보람동,"세종특별자치시 호려울로 29, (보람동)",127.2902351,36.47790919
6940,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,3611037000,전의면,"세종특별자치시 전의면 산단길 22-4, (관정리)",127.2120479,36.70041231
6944,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,3611052000,도담동,"세종특별자치시 갈매로 353, (어진동)",127.26262659999998,36.49557697
6967,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,3611056000,보람동,"세종특별자치시 한누리대로 2154, (보람동)",127.2863723,36.47808442
6986,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,3611053000,아름동,"세종특별자치시 보듬3로 92, (아름동)",127.24947649999999,36.51190617
7003,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,3611055000,고운동,"세종특별자치시 마음로 94, (고운동)",127.2325494,36.50646327
7005,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,3611056000,보람동,"세종특별자치시 한누리대로 2129, (보람동)",127.28976029999998,36.47857327
7015,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,3611054000,종촌동,"세종특별자치시 도움3로 125, (종촌동)",127.2468676,36.50462591
7043,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,3611055500,소담동,"세종특별자치시 소담1로 12, (소담동)",127.30147579999999,36.48501408
7088,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,3611052000,도담동,"세종특별자치시 가름로 232, (어진동)",127.26491440000001,36.49561813
7091,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,3611051500,새롬동,"세종특별자치시 한누리대로 253, (나성동)",127.2572523,36.48679279
7096,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,3611025000,조치원읍,"세종특별자치시 조치원읍 섭골길 101, (신안리)",127.2854449,36.61897464
